date,content,username
2021-03-06 05:11:30+00:00,they’re scared we’re gonna invest in $GME and $DOGE https://t.co/NuuZgZQ541,breaknxck
2021-03-06 05:11:14+00:00,"@ryancohen Bought more GME today! 🤑 With your leadership &amp; vision, it can only go one way! 🚀🤞🙏 I believe in you! 💯😘",Dawnhartman828
2021-03-06 05:10:38+00:00,@sueozevin We could play h/c together...if that’s still a thing,Mr_Yellow7
2021-03-06 05:10:14+00:00,祀木：母親だけがイケメンと言ってくれる　スミ：会長のそういうところが嫌いだ,e2gme
2021-03-06 05:10:11+00:00,$EYES sniped $GME and gave a trade recap video to show my entry! https://t.co/qTh81lM7qZ,investwithnoBS
2021-03-06 05:10:07+00:00,"HFがショートの金利払う為にSPY売ってるとか意見あったけど実際どうであれ
株価の価値なんてそんなもん
皆がそれを信じればそうなる
GMEとか先々週から上がり続けてるしね",beimakonana
2021-03-06 05:10:03+00:00,@wallstreetbets Gamestop $GME is immune to GRAVITY!,realDjAfk
2021-03-06 05:10:03+00:00,"週間上昇率TOP10
$SOS 緊急救援サービス36.27%
$GME ゲーム小売35.38%
$CAN 仮想通貨⛏機器31.73%
$SIFY 情報通信技術25.08%
$SATS 衛星通信17.36%
$AMRS 合成生物学16.96%
$DAR 天然栄養成分16.64%
$LYFT MaaS15.12%
$RKT 不動産ローン14.87%
$EB イベントPF14.44%",Capybara_Stock
2021-03-06 05:09:37+00:00,"@jimcramer Cause I'm not retarded and put it this week while calling way better options? 
Dont worry pump will come later.
You underestimate your ""new"" investors. Apes been learning on YouTube 15 years before you even touched college.
Actually all my rent and income in gme so am retard",EvanCalebStone
2021-03-06 05:09:20+00:00,"1200% on $SQ Today! (1.02 -&gt; 12.15)

1100% on $RIOT Today! (0.44 -&gt; 4.60)

Follow me for more plays like this. I will Tweet out plays like this if the audience wants it. $AMC $GME $RKT $SKT $SPY #stockmarketcrash #stocks https://t.co/FjdH15ekkH",YashTrades
2021-03-06 05:09:08+00:00,Does anyone elses boyfriend never leave the house and constantly talk about debt and GME stocks?,actressatlarge
